event,count,mean_forward_1h,median_forward_1h,positive_rate,mean_ci95_low,mean_ci95_high,status
all,35036,-7.120938184382742e-05,0.0,0.4999429158579747,-0.00017421588747383094,1.9036741314287336e-05,ok
sharp_drop,1052,0.00025995490574113613,0.0004973624486984932,0.5399239543726235,-0.00019195510826953318,0.0007719737929303287,ok
oi_drop,3504,-3.9964935967727224e-05,3.892011932836605e-05,0.5082762557077626,-0.0002777865876639445,0.00021763068473876768,ok
funding_top_decile,3360,-0.0003175335364524374,-9.036646875796258e-05,0.4857142857142857,-0.0005668386319480445,-1.811810365915883e-05,ok
top_trader_long_ratio_top_decile,3504,-9.167916920520043e-05,0.00018020919190480685,0.5236872146118722,-0.0005070321813303661,0.0003117601992186074,ok
global_long_ratio_top_decile,3504,-0.00018695818132707944,0.0001648509257483664,0.5219748858447488,-0.0005987032247932928,0.00014189213740611618,ok
global_long_ratio_bottom_decile,3504,-1.1268840221497173e-05,-4.462481900243e-05,0.4925799086757991,-0.0002030105894773869,0.00019837800790494607,ok
taker_buy_ratio_top_decile,3502,0.0006506279673792745,0.0005115357590620849,0.5985151342090235,0.0004926922288726412,0.0008037058772267677,ok
taker_buy_ratio_bottom_decile,3504,-0.0007283378039289343,-0.0004872629819112934,0.410958904109589,-0.0009209266430247431,-0.0005807592494307187,ok
liquidation_proxy,161,0.0004956245828651844,0.00033385104747389664,0.5341614906832298,-0.000507332960728757,0.0024045790085542723,ok
