strategy,fee_bps,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown
trend,0,-0.11637222784657919,-0.02686927781000914,0.5014414936244422,-0.05431711682526538,-0.5692152291449661
trend,5,-0.4026304690393385,-0.10722946683014267,0.5015633544074078,-0.2261442983526079,-0.6332763402173989
trend,10,-0.5961530773862976,-0.18095358956226637,0.5018551596998742,-0.3977532674025488,-0.6878110561396753
trend_gated,0,-0.20991797542642443,-0.05054911971496889,0.35449162290344743,-0.1463263978812681,-0.44427056985257096
trend_gated,5,-0.6760345842296721,-0.21974575833029664,0.3546356333487474,-0.6996912837191704,-0.6910001158397893
trend_gated,10,-0.8671611461203863,-0.358790755493534,0.3550805922435332,-1.251545284506434,-0.8704033601595645
trend_gmm_gated,0,-0.2352500773124102,-0.057336325521528675,0.38638298803711346,-0.15281654897117591,-0.5308733032605555
trend_gmm_gated,5,-0.8867555357995596,-0.38092742005312563,0.38657668173028537,-1.2404596093995683,-0.8885915000178899
trend_gmm_gated,10,-0.9832307159614001,-0.5934383920605482,0.38733328911676645,-2.3236314298819187,-0.9834943354832318
reversion,0,-0.20302881454088662,-0.048732707497204264,0.5014412796757189,-0.09963318394652639,-0.6168487340049522
reversion,5,-0.991282621827812,-0.6479734937101375,0.5021093318600323,-2.0793256329087546,-0.9923661003398498
reversion,10,-0.9999046481433915,-0.8697288742004314,0.5045259927801635,-4.0397074609201935,-0.9999073400554989
reversion_gated,0,-0.30105117457698294,-0.07582417066111147,0.3426997902722473,-0.23009332421428239,-0.5725361178667769
reversion_gated,5,-0.9695197928081586,-0.5362796963963123,0.34332797479926874,-2.238307853929092,-0.972514447807857
reversion_gated,10,-0.9986707996398801,-0.7673207704121376,0.3455295987813358,-4.219882974207959,-0.9986729668330839
reversion_gmm_gated,0,-0.1264624382769084,-0.029326610103345918,0.34465668758691526,-0.08636197417649544,-0.47033436877324786
reversion_gmm_gated,5,-0.9651500699493427,-0.5223988819138229,0.345344407754461,-2.1398330456835946,-0.9676935394742426
reversion_gmm_gated,10,-0.9986096560952227,-0.7650055823396453,0.34732208831467887,-4.1695981006679546,-0.9986154511965379
buy_hold,0,0.6309478000800521,0.11370133457976861,0.5014402579902557,0.21475938963794922,-0.6739257810463717
buy_hold,5,0.6301325300145135,0.11357875049338273,0.5014409609966378,0.2145395708987249,-0.6739257810463717
buy_hold,10,0.6293176674821157,0.1134561798997149,0.5014417737606947,0.21431970586465457,-0.6739257810463717
