model,regime,count,label_count,occupancy,mean_probability,next_1h_return,next_1h_ci95_low,next_1h_ci95_high,next_24h_return,next_24h_return_ci95_low,next_24h_return_ci95_high,next_24h_vol,next_24h_vol_ci95_low,next_24h_vol_ci95_high,next_24h_mae,next_24h_mae_ci95_low,next_24h_mae_ci95_high,next_24h_mfe,next_24h_mfe_ci95_low,next_24h_mfe_ci95_high,status
HMM,bear_stress,3355,3355,0.08431554874217788,0.9616939697553553,-3.7631490192471744e-05,-0.00031979896018471135,0.0002344479467891652,-0.0007959889700183412,-0.0049596192023387145,0.003920765523731966,0.035264399570555535,0.03252106738805395,0.03828659637626949,-0.030555648096712112,-0.034589586433939376,-0.02650465698403107,0.02824234442625433,0.02555776977700469,0.031392142704127796,ok
HMM,bull_trend,7600,7600,0.19099796436380087,0.9662691149476939,7.522166799374867e-05,-2.2117675303530392e-05,0.00018273140086564542,0.0013762275358290908,-0.0005494469283097976,0.003478009930491899,0.02227801596458369,0.021220409186511035,0.023236570934339673,-0.017743115878646853,-0.01921143672179102,-0.016495798611516347,0.019512114641335433,0.017952755657911032,0.02139660455647943,ok
HMM,momentum_proxy,936,936,0.023522907190068106,0.9651595724804143,0.0001918301591833134,-7.695118155042296e-05,0.0004528010933643378,0.00639343321935074,0.001935298304834468,0.011593654521412537,0.018109037308798284,0.015917518929437467,0.020200077603482428,-0.011491995383505352,-0.013744176636521692,-0.009292483937588978,0.02196022327039253,0.01648023182518014,0.028758685155471433,ok
HMM,quiet_range,13052,13052,0.3280138724837275,0.9830816012780775,-3.2558241532920606e-05,-8.955625898840756e-05,2.2538889279760236e-05,-0.0002302144069432163,-0.0015443893486508796,0.0009308063977295929,0.01720256126867374,0.01660338252320144,0.0177909016693463,-0.015309256258242525,-0.016379324243731744,-0.014244283856738593,0.014950231503002821,0.013973513415609509,0.015804771375439345,ok
HMM,stress_proxy,2487,2487,0.06250157070694379,0.9667191667430794,0.00018335397124365327,-8.168746293919072e-05,0.0004442724648909637,0.003874466271220048,4.534438187086252e-05,0.007604798069038405,0.030964963940740754,0.028834416521633845,0.033317169942881725,-0.025180687273398297,-0.02865833413470571,-0.02202932911807918,0.02607492766269051,0.023359655905149386,0.02891339039516559,ok
HMM,volatile_transition,12361,12361,0.3106481365132819,0.9667239181507064,-1.3500032026275267e-05,-0.00010639710132958169,9.55776720050546e-05,-0.0006948740477975818,-0.0022820860579385424,0.001046683692118297,0.02428002211105057,0.02357215424352411,0.025112660524290908,-0.021297279471553222,-0.02262438816324746,-0.02000763068624434,0.020015756578755147,0.018795029916688778,0.02132939661455767,ok
GMM,bear_stress,5855,5855,0.14714382649342816,0.9384592757458522,-7.615006725602288e-07,-0.00020716516465737965,0.00019987671112821394,-0.0012192736876921646,-0.004546798030627566,0.0018634809875966365,0.03265762406945546,0.030892973366315902,0.034618525936977666,-0.029387887917752525,-0.03253500855313114,-0.026518108724040507,0.025247325188096435,0.022985557220531392,0.027561448734555818,ok
GMM,bull_trend,9184,9184,0.23080596114699303,0.92911948637796,9.490123082133835e-05,-1.751906163598991e-05,0.00019317179305040685,0.001966966662721885,0.00018991966451714496,0.0035716991262509453,0.023154520669200665,0.022285650167259943,0.0240736175794404,-0.018658005062186095,-0.019882786129373487,-0.0175747523342357,0.021230162516868874,0.019694133146314123,0.02275900786715617,ok
GMM,quiet_range,11397,11397,0.28642155261239977,0.9090351849201259,1.2940897670947322e-07,-6.17844356030498e-05,7.01395664664221e-05,-8.717887398853608e-05,-0.0014435657377171774,0.0012601018938827716,0.018181559100631604,0.017502918884423697,0.018926534941685877,-0.01554307681523076,-0.016631888946540586,-0.014525644524310762,0.015923287208526347,0.014859985084454354,0.017053488500938872,ok
GMM,volatile_transition,13355,13355,0.33562865974717904,0.9284436805478402,-2.8410922745193806e-05,-0.00011143837914674732,5.388753232276644e-05,0.00013883069666970028,-0.0014087501228454834,0.0019287313104789255,0.022100882008359482,0.02129304944759436,0.02287685933084411,-0.018964979059599964,-0.020072258779987123,-0.017544106914412144,0.018471801310085707,0.017314340540051078,0.01972534302502681,ok
